Size	Importance	IMPORTANCE IS SIZE
Size	Poverty	AMOUNT OF POVERTY IS SIZE
Size	Problem	AMOUNT OF PROBLEM IS SIZE
Size	Quantity	MORE IS BIG
Size	Quantity	QUANTITY IS SIZE
Size	Quantity	LESS IS SMALL
Size	Resource	EXCESS WEALTH IS LARGE GEOGRAPHIC FEATURES
Size	State	AMOUNT OF STATE IS SIZE OF OBJECT
Smelling	Perception	SENSING IS SMELLING
Space	Perception	NONVISUAL PERCEPTUAL SPACE IS PHYSICAL SPACE
Spatial relation	Change of state	PREVENTED CHANGE OF STATE IS PREVENTED CHANGE OF LOCATION
Spatial relation	Decision_making	ALTERNATIVES ARE DIFFERENT AVAILABLE PATHS
Speaking	thinking	THINKING IS SPEAKING
Speaking	Voting	VOTING IS SPEAKING
Spelling	Communication	FULLY COMMUNICATING A SEQUENCE OF THOUGHT IS SPELLING
Straightness	Morality	IMMORAL IS CROOKED
Straightness	Morality	MORAL IS STRAIGHT
Straightness	Morality	MORALITY IS STRAIGHTNESS
Substance	Anger	ANGER IS PRESSURE IN A CONTAINER
Substance	Emotion	EMOTIONS ARE SUBSTANCES
Substance	Money	MONEY IS A SUBSTANCE
Substance	Quality	QUALITIES ARE SUBSTANCES
Substance	Time	TIME IS A SUBSTANCE
Substance	Wealth	WEALTH IS A SUBSTANCE
suffocation	Regulation	GOVERNMENT REGULATION IS SUFFOCATION
Support	Assistance	ASSISTANCE IS SUPPORT
Support	Assistance	GOVERNMENT ASSISTANCE IS SUPPORT
Support	help	HELP IS PHYSICAL SUPPORT
System	Nation	NATION IS A SYSTEM
Temperature	Emotion	EMOTIONALLY INDIFFERENT IS COLD
Temperature	Emotion	EMOTIONALLY MILD IS EXPERIENCING MILD TEMPERATURE
Territory	Rights	CITIZEN RIGHTS ARE TERRITORIES
Territory	Rights	RIGHTS ARE TERRITORIES
Textile	Marriage	MARRIAGE IS CLOTH
Textile	Social group	SOCIAL GROUP IS A FABRIC
Theft	Taxation	TAXATION IS THEFT
Touching	Knowing	KNOWING IS TOUCHING
Touching	Seeing	SEEING IS TOUCHING
Trespassing	Rights	GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS INVADING A TERRITORY
up	Happiness	HAPPY IS UP
up	Health	HEALTH IS UP
uprightness	Morality	MORALITY IS UPRIGHTNESS
Vehicle	Institution	INSTITUTION IS A VEHICLE
Vehicle	Institution	POLITICAL REGION IS A VEHICLE
Vehicle	Nation	NATION IS A VEHICLE
Verticality	being good	BEING GOOD IS BEING UPRIGHT
Verticality	Consciousness	UNCONSCIOUS IS DOWN
Verticality	Consciousness	CONSCIOUS IS UP
Verticality	Consciousness	CONSCIOUSNESS IS VERTICALITY
Verticality	Control	SUBJUGATION IS DOWN
Verticality	Control	CONTROL IS UP
Verticality	Control	CONTROL IS VERTICALITY
Verticality	Emotion	HAPPINESS IS VERTICALITY
Verticality	Functionality	FUNCTIONALITY IS VERTICALITY
Verticality	Goodness	GOODNESS IS VERTICALITY
Verticality	Government	GOVERNMENT CONTROL IS VERTICALITY
Verticality	Health	HEALTH IS VERTICALITY
Verticality	Institution	GOVERNMENT FUNCTIONALITY IS VERTICALITY
Verticality	Life cycle	LIFE IS VERTICALITY
Verticality	Morality	BEING IMMORAL IS BEING LOW
Verticality	Morality	DEGREE OF MORALITY IS PHYSICAL HEIGHT
Verticality	Physical_strength	PHYSICAL STRENGTH IS VERTICALITY
Verticality	positivity	POSITIVITY IS VERTICALITY
Verticality	Quantity	LESS IS DOWN
Verticality	Quantity	MORE IS UP
Verticality	Quantity	QUANTITY IS VERTICALITY
Verticality	Status	LOW STATUS IS DOWN
Verticality	Status	HIGH STATUS IS UP
Verticality	Status	STATUS IS VERTICALITY
Verticality	Well-being	WELL-BEING IS VERTICALITY
visibility	Existence	EXISTENCE IS VISIBILITY
waging war	Causation	ADDRESSING POVERTY IS WAGING WAR
War	Argument	ARGUMENT IS WAR
War	Causation	ADDRESSING SOCIAL PROBLEMS IS WAGING WAR
War	Diplomacy	DIPLOMACY IS WAR
War	Election	LOSING AN ELECTION IS LOSING A WAR
War	Election	ELECTION IS WAR
War	Election	WINNING AN ELECTION IS WINNING A WAR
War	Problem	ADDRESSING GUN VIOLENCE IS WAGING WAR
Wealth	Well-being	WELL-BEING IS WEALTH
Weed	Poverty	POVERTY IS A WEED
Weighing	Decision making	MAKING A DECISION IS WEIGHING
Weight	difficulty	DIFFICULTY IS HEAVINESS
wholeness	Morality	MORALITY IS WHOLENESS
Word	Idea	SIMPLE IDEAS ARE WORDS
Worship	guns	GUNS ARE OBJECTS OF WORSHIP
Writing	Memorization	MEMORIZATION IS WRITING
Zealotry	Gun control	ADVOCATING GUN CONTROL IS ZEALOTRY
