#Source	#Target	#ConceptualMetaphor
Causation	Debt	DEBT IS PHYSICAL IMPEDIMENTS TO MOTION
Object	Debt	DEBT IS AN ORGANISM
Motion	Curriculum	CURRICULUM IS A FIXED PATH
Attacking	Criticizing	CRITICIZING IS ATTACKING
Fierce animal	Crime	CRIME IS AN ANIMAL
Disease	Crime	CRIME IS A DISEASE
Making	Creating	CREATING IS MAKING
Family	Country	COUNTRY IS A CHILD
Erosion	Corruption	CORRUPTION IS EROSION
Decay	Corruption	CORRUPTION IS DECAY
Parasite	Corruption	CORRUPTION IS A TERMITE INFESTATION
Disease	Corruption	CORRUPTION IS A DISEASE
Destructive force	Corruption	CORRUPTION IS A DESTRUCTIVE NATURAL PROCESS
Disease	Corruption	CORRUPTION EFFECT IS DISEASE EFFECT
Person	Corporation	CORPORATIONS ARE PEOPLE
Citizens	Nation	COOPERATIVE NATIONS ARE GOOD CITIZENS
Verticality	Control	CONTROL IS VERTICALITY
Verticality	Control	CONTROL IS UP
Object manipulation	Control	CONTROL IS PHYSICAL RESTRAINT
Object manipulation	Control	CONTROL IS OBJECT MANIPULATION
Possession	Control	CONTROL IS A POSSESSION
Region	Control	CONTROL IS A BOUNDED REGION
Contents	Constituents	CONSTITUENTS ARE CONTENTS
Card game	Gun rights	CONSIDERING THE IMPORTANCE OF RIGHTS IS PLAYING A GAME
Verticality	Consciousness	CONSCIOUSNESS IS VERTICALITY
Verticality	Consciousness	CONSCIOUS IS UP
Person	Computer	COMPUTERS ARE PEOPLE
Force	Compulsion	COMPULSION IS A COMPELLING FORCE
Sentence	Idea	COMPLEX IDEAS ARE SENTENCES
Race	Competition	COMPETITION IS A RACE
Family	Company	COMPANY IS A FAMILY
Object	Company	COMPANY IS A COMPLEX STRUCTURE
Family	Community	COMMUNITY IS A FAMILY
showing	Communication	COMMUNICATING IS SHOWING
pointing	Communication	COMMUNICATING IS POINTING
Causation	Communication	COMMUNICATING IS GUIDING
Feeding	Communication	COMMUNICATING IS FEEDING
showing	Communication	COMMUNICATING IS DRAWING A PICTURE
Eating	Cognizing	COGNIZING IS EATING
Cognizing	cognizing	COGNIZING IS BODILY FUNCTIONING
Disgusting	Idea	COGNITIVE AVERSION IS PHYSICAL DISGUST
Servitude	Nation	CITIZENS ARE SLAVES
Person	Government	CITIZENS ARE EYES AND EARS
Business	Nation	CITIZENS ARE EMPLOYERS
Territory	Rights	CITIZEN RIGHTS ARE TERRITORIES
Protecting	Rights	CITIZEN RIGHTS ARE SHIELDS FROM HARM
Possession	Rights	CITIZEN RIGHTS ARE POSSESSIONS
Object	Rights	CITIZEN RIGHTS ARE PHYSICAL STRUCTURES
Possession	Change of state	CHANGE OF STATE IS CHANGE OF POSSESSION
Spatial relation	Change of state	CHANGE OF STATE IS CHANGE OF LOCATION
loss	Change of state	CHANGE IS LOSS
acquisition	Change of state	CHANGE IS ACQUISITION
Spatial relation	Emotion	CHANGE IN MOOD IS VERTICAL MOVEMENT
Firmness	Certainty	CERTAIN IS FIRM
Harm	Economic difficulty	CAUSING ECONOMIC HARDSHIP IS CAUSING PHYSICAL HARM
Force	Causation	CAUSES ARE FORCES
Force	Action	CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH
Causation	Change of state	CAUSED IMPROVED ECONOMIC STATUS IS CAUSED UPWARD MOTION
Causation	Poverty	CAUSED IMPOVERISHMENT IS CAUSED DOWNWARD MOTION
Causation	Quantity	CAUSE INCREASE IN QUANTITY IS CAUSE UPWARD MOTION
Region	Category	CATEGORIES ARE BOUNDED REGIONS
Object	Career	CAREER IS A COMPLEX STRUCTURE
Building	Career	CAREER IS A BUILDING
Object	Business	BUSINESSES ARE LIVING ENTITIES
Competitive sport	Economic competition	BUSINESS COMPETITION IS COMPETITIVE SPORTS
Machine	Bureaucracy	BUREAUCRATS ARE MACHINE PARTS
Factory	Bureaucracy	BUREAUCRATS ARE FACTORY WORKERS
Machine	Bureaucracy	BUREAUCRACY IS A MACHINE
Fierce animal	Bureaucracy	BUREACRACY IS AN OCTOPUS
Maze	Bureaucracy	BUREACRACY IS A MAZE
Possession	Belief	BELIEFS ARE POSSESSIONS
being free	Wealth	BEING WEALTHY IS BEING FREE
Scale	Wealth	BEING WEALTHY IS BEING AT A HIGH LOCATION
Scale	Social class	BEING IN A MIDDLE CLASS IS BEING IN THE MIDDLE OF A SCALE
Scale	Social class	BEING IN A LOW SOCIAL CLASS IS BEING LOW ON A SCALE
Journey	Cancer	CANCER IS A JOURNEY
Spatial relation	Impoverished	BEING IMPOVERISHED IS BEING IN A BOUNDED REGION
Spatial relation	Impoverished	BEING IMPOVERISHED IS BEING AT A LOW LOCATION
Verticality	Morality	BEING IMMORAL IS BEING LOW
Upright posture	being good	BEING GOOD IS BEING UPRIGHT
Process	Life cycle	BEING ALIVE IS BEING PHYSICALLY AT THIS LOCATION
Downward motion	Impoverished	BECOMING IMPOVERISHED IS MOVING DOWNWARDS
Disgusting	Badness	BAD IS STINKY
Physical entity	Resource	AUGMENTING ECONOMIC ASSETS IS CREATING OBJECTS
Possession	Attribute	ATTRIBUTES ARE POSSESSIONS
Entity	Attribute	ATTRIBUTES ARE ENTITIES
Support	Assistance	ASSISTANCE IS SUPPORT
Measuring	Evaluation	ASSESSING IS MEASURING
War	Argument	ARGUMENT IS WAR
physical conflict	Argument	ARGUMENT IS PHYSICAL COMBAT
Heat	Anger	ANGER IS THE HEAT OF FLUID IN A CONTAINER
Substance	Anger	ANGER IS PRESSURE IN A CONTAINER
Insanity	Anger	ANGER IS INSANITY
Heat	Anger	ANGER IS HEAT
Fire	Anger	ANGER IS FIRE
Dissect	Analysis	ANALYZING IS DISSECTING
Seeing	Knowing	AID TO KNOWING IS A LIGHT SOURCE
Proximity	Agreement	AGREEMENT IS PHYSICAL PROXIMITY
Heat	Affection	AFFECTION IS WARMTH
Zealotry	Gun control	ADVOCATING GUN CONTROL IS ZEALOTRY
Insanity	Gun control	ADVOCATING GUN CONTROL IS INSANITY
War	Causation	ADDRESSING SOCIAL PROBLEMS IS WAGING WAR
waging war	Causation	ADDRESSING POVERTY IS WAGING WAR
War	Problem	ADDRESSING GUN VIOLENCE IS WAGING WAR
Animal	Crime	ADDRESSING CRIME IS CONTROLLING AN ANIMAL
Journey	Activity	ACTIVITIES ARE JOURNEYS
Region	Activity	ACTIVITIES ARE BOUNDED REGIONS IN SPACE
Motion	Action	ACTION IS SELF-PROPELLED MOTION ALONG A PATH
Motion	Action	ACTION IS MOTION ALONG A PATH
Motion	Action	ACTION IS MOTION
Process	Action	ACTION IS BEING IN A LOCATION
Eating	Thinking about	ACQUIRING IDEAS IS EATING
Upward motion	Power	ACHIEVING POWER IS MOVING UPWARDS
Eating	Considering	ACCEPTING IS SWALLOWING
Bully	Leadership	ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
Seeing	Knowing	ABILITY TO KNOW IS ABILITY TO SEE
Seeing	Evaluation	ABILITY TO EVALUATE IS ABILITY TO SEE
