#Source	#Target	#Sentence
take away	right	Don't let anyone take away your right to vote.
pillars	rights	One down of the three pillars of “unalienable” rights that hold up this great country of ours.
dismantle	rights	This is an usagainst-them battle, but the “them” are those who would dismantle our rights.
gone	from bad to worse	Things have gone from bad to worse lately.
handed	control	The US handed over control of the prisoners to Afghan authorities.
wrested	control	The Democrats wrested control of four governerships from the Republicans
acquired	control	The government acquired control of the company's assets.
gagged	media	... allow courts to circumvent the First Amendment, slowly eroding the freedom of the press in a much more subtle manner than if they gagged the media directly.
muzzle	press	The government should not muzzle the press.
cripple	economy	Another round of cuts will cripple the economy.
treatment	crime	Thriving community centers have proven to be an effective treatment against violent crime in a number of neighborhoods.
within	category	Tomatoes technically fall within the fruit category.
put	category	I wouldn't put him in the friend category, exactly.
make	career	How to make a career out of things you would do even for free.
collapsed	career	Stars whose careers collapsed in a relatively short amount of time
grow	business	Here are some tips to grow your business.
machine	bureaucratic	You could call me just a work-for-hire hack, and a willing, contented cog in a bureaucratic machine.
cogs	bureaucracy	Confronted with the grinding cogs of bureaucracy, but needing a new cap, Coltrane shrugged and filled out the form.
tentacle	bureaucrats	The creation of this board of unelected bureaucrats is yet another tentacle of the Obama Administration digging its way into the doctors-patient relationship.
maze	bureaucratic	Lost in the bureaucratic maze of city's criminal justice system
filled	anger	He was filled with anger.
contain	joy	She couldn't contain her joy.
briming	rage	She was brimming with rage.
hold on	beliefs	Hold on to your beliefs and never let them go.
stoop	behaviour	I refuse to stoop to that kind of behavior.
given	authority	In a democratic government, authority is given to it by the people.
has	sunny disposition	She has a sunny disposition.
lost	charm	This place has lost a lot of its charm.
gave	appearance	The new mustache gave him an older appearance.
got	control	You could talk about the dealerships, auto dealerships that were closed down when the government got control of a couple of the auto companies, an awful lot of people lost jobs, businesses were closed, and so on.
seized	control	The Shadow Party: How George Soros, Hillary Clinton, and Sixties Radicals Seized Control of the Democratic Party
leaning on	friends	I've really been leaning on my friends the past few months.
made up	five	Five is made up of two plus three.
put	2 and 2	If you put 2 and 2 together, you get 4.
bombarded	arguments	He bombarded them with clever arguments.
target	criticisms	His criticisms were right on target.
indefensible	claims	Your claims are indefensible.
attacked	argument	He attacked every weak point in my argument.
target	criticisms	His criticisms were right on target.
blew	argument	I blew his argument out of the water.
won	argument	I've never won an argument with him.
shoot	disagree	You disagree? OK, shoot!
shot down	argument	He shot down all of my arguments.
burst	anger	He was just about to burst with anger.
friendship	Iran	There seems to be growing friendship between Shia Iran and its Sunni-dominated neighbours.
fanatics	gun control	Of course, gun control fanatics pay little attention to facts.
war	obesity	The most powerful weapon in the war against obesity might be something we all understand: cold, hard cash.
war	poverty	How America's losing the war on poverty
ails	economy	Debt Ceiling Deal: Wrong Diagnosis Leads to Wrong Treatment for What Ails the Economy
cure	poverty	Improving access to education is the only sure way to cure us of poverty.
reining	criminals	Law enforcement officers have often described these arrests as a way of reining in criminals whose other, more serious activities present a danger to the public.
course	investigation	In the course of the investigation, new evidence was found.
follow	assemble	Follow along as I assemble this.
follow	assembly	Follow these steps in assembly.
get out	washing	How did Jerry get out of washing the windows?
outside	washing	Outside of washing the windows, what else did you do?
put	washing	I put a lot of energy into washing the windows.
out	washing	I get a lot of satisfaction out of washing windows.
way	squeezed	She squeezed her way to thinner thighs.
went	sleep	She went back to sleep.
navigated	negotiations	She successfully navigated her way through the contract negotiations.
moving	refusal	Congress' refusal to compromise is moving the country toward economic ruin.
in	motion	The car is in motion.
going to	leave	I'm going to leave.
close	resigning	She's close to resigning.
ate	idea	We pitched them the idea and they ate it right up.
feeding	lies	He's been feeding her lies all these years.
digest	article	This article is hard to digest.
rise	power	Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...
peak	influence	Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.
way	goal	The goal is a long way off.
handed	job	They just handed him the job.
seize	opportunity	Seize the opportunity.
escaping	world championship	I kept getting close to a world championship, but it kept escaping me.
get	smile	He finally managed to get a smile out of her.
landed	accounts	She landed four huge accounts this year.
bullied	House Republicans	Will House Republicans Get Bullied into a Tax Hike By Obama?
pushed around	he	On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.
exposed	issue	The issue was exposed to the light of day.
clouded	judgement	His judgement is clouded.
